search_query,n_searches,n_carts,TECHNICAL_SCORE,intent_class,INTENT_SCORE,loyalty_index,FINAL_SCORE,PRIORITY_LOSS_INDEX
молоко,5971,5908,76.1550089621048,1. Рутина (База),0.0,32.09125475285171,38.1,369.74
хлеб,4589,5180,76.14764065844861,1. Рутина (База),0.0,18.36228287841191,38.1,284.18
сыр,4158,4445,71.24748047107522,1. Рутина (База),0.0,11.137559508895013,35.6,267.68
яйца,2880,2267,78.31709213931393,1. Рутина (База),0.0,29.789750328515115,39.2,175.22
творог,2552,2767,73.48521167571019,1. Рутина (База),0.0,11.524364847980008,36.7,161.43
сметана,2635,2662,80.26096748851995,1. Рутина (База),0.0,25.32825880114177,40.1,157.76
мороженое,2354,3732,70.65666079338999,1. Рутина (База),0.0,12.47743229689067,35.3,152.24
чипсы,2187,2500,72.41355878829145,1. Рутина (База),0.0,24.015369836695488,36.2,139.52
вода,2080,1581,72.02208097742067,1. Рутина (База),0.0,10.971547536433032,36.0,133.1
туалетная бумага,2076,1963,77.28002485125681,1. Рутина (База),0.0,32.66222961730449,38.6,127.38
курица,1981,1914,73.65635195167238,1. Рутина (База),0.0,9.860896445131376,36.8,125.14
масло сливочное,1997,1677,77.14927941977095,1. Рутина (База),0.0,20.93632958801498,38.6,122.67
колбаса,1896,2072,71.89993162864899,1. Рутина (База),0.0,11.441192711209277,35.9,121.44
торт,1704,836,66.98568017823247,1. Рутина (База),0.0,6.526151444184231,33.5,113.33
печенье,1719,1901,69.89970239669816,1. Рутина (База),0.0,10.270124257158294,34.9,111.82
помидоры,1823,1808,78.91261170176196,1. Рутина (База),0.0,22.021924482338612,39.5,110.37
сок,1706,1456,71.09744411101386,1. Рутина (База),0.0,13.345554537121908,35.5,109.95
огурцы,1827,1510,80.86087064250242,1. Рутина (База),0.0,28.982725527831093,40.4,108.83
сосиски,1617,1425,74.82006189535119,1. Рутина (База),0.0,14.094955489614245,37.4,101.21
шоколад,1479,1338,71.3699824044001,1. Рутина (База),0.0,10.695443645083934,35.7,95.12
яйца куриные,1927,1466,83.08238708621396,1. Рутина (База),19.494528400208452,28.688845401174166,51.3,93.87
майонез,1514,1472,79.95165954399872,1. Рутина (База),0.0,27.20887245841035,40.0,90.88
йогурт,1416,2503,73.71239730309317,1. Рутина (База),0.0,9.549790156428843,36.9,89.41
картофель,1470,1339,79.40919596271829,1. Рутина (База),0.0,19.37771345875543,39.7,88.63
кола,1391,956,75.17126047295973,1. Рутина (База),0.0,17.3502722323049,37.6,86.82
кефир,1435,1414,80.69137025368728,1. Рутина (База),0.0,21.07302533532042,40.3,85.6
макароны,1327,1857,76.16179620396105,1. Рутина (База),0.0,19.323621227887617,38.1,82.17
морковь,1363,1224,80.96432588635976,1. Рутина (База),0.0,20.366056572379367,40.5,81.12
вода 5 л,1296,973,74.8266427768833,3. Специфичный (Атрибуты),0.22915101427498996,17.34402852049911,37.5,80.96
сливки,1331,1177,79.44748052252172,1. Рутина (База),0.0,23.971486761710793,39.7,80.23
бананы,1268,867,78.49784062959293,1. Рутина (База),0.0,13.96135265700483,39.2,77.03
конфеты,1130,1429,70.45690196314288,1. Рутина (База),0.0,7.762085822922325,35.2,73.19
яблоки,1209,1207,82.39356070327808,1. Рутина (База),0.0,21.13835376532399,41.2,71.09
пельмени,1113,849,73.99681643530033,1. Рутина (База),0.0,11.30492676431425,37.0,70.12
рис,1100,897,76.85054660434422,1. Рутина (База),0.0,19.044585987261147,38.4,67.73
салат,1013,963,74.42771920122362,1. Рутина (База),0.0,6.824946846208364,37.2,63.6
фарш,1026,855,80.68666781215428,1. Рутина (База),0.0,21.86700767263427,40.3,61.21
творожный сыр,928,823,77.29206647838227,1. Рутина (База),0.0,14.670231729055258,38.6,56.94
индейка,886,882,73.87829549367808,1. Рутина (База),0.0,12.405063291139241,36.9,55.87
сахар,965,849,73.21565792664467,1. Рутина (База),13.522607781282858,38.41628959276018,43.4,54.65
креветки,836,439,71.9267199284232,1. Рутина (База),0.0,8.940936863543788,36.0,53.53
огурцы свежие,1557,1321,86.4580915179661,1. Рутина (База),46.79636835278859,31.377672209026127,66.6,51.96
картошка,853,747,79.40665031986055,1. Рутина (База),0.0,12.857142857142858,39.7,51.43
мука,841,663,79.99150084707858,1. Рутина (База),0.0,19.44281524926686,40.0,50.46
чай,768,588,70.39037813986148,1. Рутина (База),0.0,5.292529252925293,35.2,49.77
энергетик,767,774,75.60694929983262,1. Рутина (База),0.0,13.555166374781086,37.8,47.7
хлебцы,768,758,76.58247087693125,1. Рутина (База),0.0,17.188208616780045,38.3,47.39
цветы,780,55,64.71693810028546,2. Выбор вкуса (Бренды),14.036931818181817,3.642384105960265,39.4,47.29
кофе,719,472,69.61374680492212,2. Выбор вкуса (Бренды),0.0,3.5462058602554474,34.8,46.87
авокадо,1202,709,83.96056271711278,1. Рутина (База),40.05059021922428,32.081447963800905,62.0,45.67
помидоры свежие,766,783,80.87722265119709,1. Рутина (База),0.0,14.210526315789473,40.4,45.62
кофе растворимый,712,520,71.87533703337907,1. Рутина (База),0.0,8.240887480190175,35.9,45.61
