search_query,word_count,n_searches,n_views,n_carts,u_searchers,u_viewers,i_unique_viewed,i_unique_carts,smooth_penetration,smooth_cart_per_view,smooth_views_per_user,smooth_cart_per_item,smooth_diversity,score_text,score_rank,score_ner,score_spam,score_div,TOTAL_QUALITY_SCORE
сода,1,94,98,84,88,88,1,3,0.9888888888888889,0.7870370370370371,1.1348314606741574,14.166666666666666,1.3333333333333333,1.0,0.9999998541578173,0.9139747102181353,1.0,1.0,98.3
сода пищевая,2,75,99,75,75,86,1,1,1.12987012987013,0.6972477064220184,1.1724137931034482,12.666666666666666,0.6666666666666666,1.0,0.9999991214158349,0.8934163829265647,1.0,1.0,97.9
пемолюкс,1,58,63,35,53,52,1,1,0.9636363636363636,0.4931506849315068,1.2452830188679245,6.0,0.6666666666666666,1.0,0.9999479347958344,0.8569734393129423,1.0,1.0,97.1
сухарики для салата,3,32,39,10,29,33,1,1,1.096774193548387,0.22448979591836735,1.2352941176470589,1.8333333333333333,0.6666666666666666,1.0,0.9887770660294208,0.8617237766575243,0.9999999890872426,1.0,97.0
икра минтая,2,32,47,18,32,36,1,1,1.088235294117647,0.3333333333333333,1.3513513513513513,3.1666666666666665,0.6666666666666666,1.0,0.9987273661986602,0.810707743418931,0.9999999999999823,1.0,96.2
скумбрия холодного копчения,3,50,65,23,49,49,2,2,0.9803921568627451,0.32,1.36,3.4285714285714284,0.75,1.0,0.998338442726826,0.8072413686510175,0.9999999999999987,1.0,96.1
имбирь маринованный,2,33,46,24,32,34,4,5,1.0294117647058822,0.44642857142857145,1.4,2.7777777777777777,1.0,1.0,0.9998674527574544,0.7917440691885577,0.9999999999991365,1.0,95.8
молочный ломтик,2,39,58,32,38,42,2,2,1.075,0.4852941176470588,1.4186046511627908,4.714285714285714,0.75,1.0,0.999939075937902,0.7848215737193605,1.0,1.0,95.7
геркулес монастырский,2,30,43,26,29,31,4,4,1.032258064516129,0.5094339622641509,1.4375,3.0,0.8333333333333334,1.0,0.9999624064943772,0.7779666047917149,0.9999999999999064,1.0,95.6
маргарин,1,40,37,19,37,29,2,2,0.7692307692307693,0.425531914893617,1.3333333333333333,2.857142857142857,0.75,0.9615384615384616,0.9997986847152248,0.8180678991012519,0.9999999999996095,1.0,95.6
мандарины сладкие,2,44,79,32,41,55,10,3,1.302325581395349,0.3707865168539326,1.4642857142857142,2.2,0.3333333333333333,1.0,0.999398287220563,0.7685393588735973,0.9999999997210532,1.0,95.4
мука пшеничная 2кг,3,280,432,144,271,296,13,10,1.0879120879120878,0.32805429864253394,1.4646464646464648,8.055555555555555,0.7333333333333333,1.0,0.9985856510684932,0.7684146434364626,1.0,1.0,95.3
баклажаны свежие,2,106,163,89,104,112,29,7,1.0660377358490567,0.5202312138728323,1.4690265486725664,2.6470588235294117,0.25806451612903225,1.0,0.9999697079203544,0.7669050709560943,0.9999999999968087,1.0,95.3
романо,1,31,45,11,30,30,5,2,0.96875,0.21818181818181817,1.5483870967741935,1.2,0.42857142857142855,1.0,0.9872679948317501,0.7409688286250339,0.9999938557876467,1.0,94.6
рис жасмин,2,57,89,19,57,59,13,2,1.0169491525423728,0.20202020202020202,1.5333333333333334,1.1111111111111112,0.2,1.0,0.9824096362380531,0.7456916261592353,0.9999850546614752,1.0,94.6
пита,1,77,109,43,67,67,8,6,0.9855072463768116,0.3697478991596639,1.6470588235294117,3.3846153846153846,0.7,1.0,0.9993856575094875,0.7120527904428595,0.999999999999998,1.0,94.2
булочки для хот догов,4,44,78,29,43,48,6,1,1.0888888888888888,0.3409090909090909,1.653061224489796,2.727272727272727,0.25,1.0,0.9989062923249975,0.7103998429192495,0.9999999999985691,1.0,94.2
красный лук,2,52,87,46,52,53,5,5,1.0,0.4845360824742268,1.6666666666666667,4.7,0.8571428571428571,1.0,0.9999381452491413,0.7066950526114236,1.0,1.0,94.1
свр,1,163,161,13,149,140,1,3,0.9337748344370861,0.08187134502923976,1.1631205673758864,2.3333333333333335,1.3333333333333333,1.0,0.805520185069127,0.8983805145594546,0.9999999999264704,1.0,94.1
мука макфа,2,45,78,25,42,47,2,3,1.0909090909090908,0.29545454545454547,1.6875,3.7142857142857144,1.0,1.0,0.9972853463670922,0.7011320981628467,0.9999999999999999,1.0,94.0
